"","year","category","winner","entity","budget","company","country","director","genre","gross","rating","runtime"
"59",2010,"ACTRESS IN A LEADING ROLE","TRUE","Natalie Portman",1.3e+07,"Fox Searchlight Pictures","USA","Darren Aronofsky","Drama",106954678,"R","108"
"60",2011,"ACTRESS IN A LEADING ROLE","TRUE","Meryl Streep",1.3e+07,"Path<e9>","UK","Phyllida Lloyd","Biography",30017992,"PG-13","105"
"61",2012,"ACTRESS IN A LEADING ROLE","TRUE","Jennifer Lawrence",7.8e+07,"Lionsgate","USA","Gary Ross","Adventure",408010692,"PG-13","142"
"62",2013,"ACTRESS IN A LEADING ROLE","TRUE","Cate Blanchett",1.8e+07,"Gravier Productions","USA","Woody Allen","Drama",33405481,"PG-13","98"
"63",2014,"ACTRESS IN A LEADING ROLE","TRUE","Julianne Moore",5e+06,"Lutzus-Brown","USA","Richard Glatzer","Drama",18754371,"PG-13","101"
"64",2015,"ACTRESS IN A LEADING ROLE","TRUE","Brie Larson",1.3e+07,"Element Pictures","Ireland","Lenny Abrahamson","Drama",14677654,"R","118"
"65",2016,"ACTRESS IN A LEADING ROLE","TRUE","Emma Stone",3e+07,NA,"USA","Damien Chazelle","Romance",446100000,"PG-13","128"
"66",2017,"ACTRESS IN A LEADING ROLE","TRUE","Frances McDormand",1.5e+07,"Summit Entertainment","UK","Martin McDonagh","Drama",160100000,"R","116"
"67",2018,"ACTRESS IN A LEADING ROLE","TRUE","Olicia Colman",1.5e+07,"Searchlight Pictures","UK","Yorgos Lanthimos","Comedy",95900000,"R","121"
"68",2019,"ACTRESS IN A LEADING ROLE","TRUE","Renee Zellweger",1.3e+07,"Element Pictures","UK","Rupert Goold","Drama",42100000,"PG-13","118"
"69",1986,"DIRECTING","TRUE","Platoon",6e+06,"Hemdale","UK","Oliver Stone","Drama",138530565,"R","120"
"70",1987,"DIRECTING","TRUE","The Last Emperor",2.3e+07,"Recorded Picture Company (RPC)","UK","Bernardo Bertolucci","Biography",43984230,"PG-13","163"
"71",1988,"DIRECTING","TRUE","Rain Man",2.5e+07,"United Artists","USA","Barry Levinson","Drama",172825435,"R","133"
"72",1989,"DIRECTING","TRUE","Born on the Fourth of July",1.4e+07,"Ixtlan","USA","Oliver Stone","Biography",70001698,"R","145"
"73",1990,"DIRECTING","TRUE","Dances With Wolves",1.9e+07,NA,"USA","Kevin Costner","Drama",4.24e+08,"PG-13","416"
"74",1991,"DIRECTING","TRUE","The Silence of the Lambs",1.9e+07,"Strong Heart/Demme Production","USA","Jonathan Demme","Crime",130742922,"R","118"
"75",1992,"DIRECTING","TRUE","Unforgiven",14400000,"Warner Bros.","USA","Clint Eastwood","Drama",101157447,"R","131"
"76",1993,"DIRECTING","TRUE","Schindler's List",2.2e+07,"Universal Pictures","USA","Steven Spielberg","Biography",96067179,"R","195"
"77",1994,"DIRECTING","TRUE","Forrest Gump",5.5e+07,"Paramount Pictures","USA","Robert Zemeckis","Comedy",330252182,"PG-13","142"
"78",1995,"DIRECTING","TRUE","Braveheart",7.2e+07,"Icon Entertainment International","USA","Mel Gibson","Biography",75600000,"R","178"
"79",1996,"DIRECTING","TRUE","The English Patient",2.7e+07,"Miramax","USA","Anthony Minghella","Drama",78651430,"R","162"
"80",1997,"DIRECTING","TRUE","Titanic",2e+08,"Twentieth Century Fox Film Corporation","USA","James Cameron","Drama",658672302,"PG-13","194"
"81",1998,"DIRECTING","TRUE","Saving Private Ryan",7e+07,"DreamWorks","USA","Steven Spielberg","Drama",216540909,"R","169"
"82",1999,"DIRECTING","TRUE","American Beauty",1.5e+07,"DreamWorks","USA","Sam Mendes","Drama",130096601,"R","122"
"83",2000,"DIRECTING","TRUE","Traffic",4.8e+07,"Bedford Falls Company, The","USA","Steven Soderbergh","Crime",124115725,"R","147"
"84",2001,"DIRECTING","TRUE","A Beautiful Mind",5.8e+07,"Universal Pictures","USA","Ron Howard","Biography",170742341,"PG-13","135"
"85",2002,"DIRECTING","TRUE","The Pianist",3.5e+07,"R.P. Productions","France","Roman Polanski","Biography",32572577,"R","150"
"86",2003,"DIRECTING","TRUE","The Lord of the Rings: The Return of the King",9.4e+07,"New Line Cinema","USA","Peter Jackson","Adventure",377845905,"PG-13","201"
"87",2004,"DIRECTING","TRUE","Million Dollar Baby",3e+07,"Warner Bros.","USA","Clint Eastwood","Drama",100492203,"PG-13","132"
"88",2005,"DIRECTING","TRUE","Brokeback Mountain",1.4e+07,"Focus Features","USA","Ang Lee","Drama",83043761,"R","134"
"89",2006,"DIRECTING","TRUE","The Departed",9e+07,"Warner Bros.","USA","Martin Scorsese","Crime",132384315,"R","151"
"90",2007,"DIRECTING","TRUE","No Country for Old Men",2.5e+07,"Paramount Vantage","USA","Ethan Coen","Crime",74283625,"R","122"
"91",2008,"DIRECTING","TRUE","Slumdog Millionaire",1.5e+07,"Warner Bros.","UK","Danny Boyle","Drama",141319928,"R","120"
"92",2009,"DIRECTING","TRUE","The Hurt Locker",1.1e+07,NA,"USA","Kathryn Bigelow","Action",49200000,"R","131"
"93",2010,"DIRECTING","TRUE","The King's Speech",1.5e+07,"See-Saw Films","UK","Tom Hooper","Biography",138797449,"R","118"
"94",2011,"DIRECTING","TRUE","The Artist",1.5e+07,"Studio 37","France","Michel Hazanavicius","Comedy",44671682,"PG-13","100"
"95",2012,"DIRECTING","TRUE","Life of Pi",1.2e+08,"Fox 2000 Pictures","USA","Ang Lee","Adventure",124987023,"PG","127"
"96",2013,"DIRECTING","TRUE","Gravity",1e+08,"Warner Bros.","UK","Alfonso Cuar<f3>n","Drama",274092705,"PG-13","91"
"97",2014,"DIRECTING","TRUE","Birdman or (The Unexpected Virtue of Ignorance)",1.8e+07,"New Regency Pictures","USA","Alejandro Gonz<e1>lez I<f1><e1>rritu","Comedy",42340598,"R","119"
"98",2015,"DIRECTING","TRUE","The Revenant",1.35e+08,NA,"USA","Alejandro Gonzalez Inarritu","Adventure",5.33e+08,"R","156"
"99",2016,"DIRECTING","TRUE","La La Land",3e+07,"Summit Entertainment","USA","Damien Chazelle","Comedy",151101803,"PG-13","128"
"100",2017,"DIRECTING","TRUE","The Shape of Water",2e+07,NA,"Russia","Guillermo del Toro","Drama",195200000,"R","123"
"101",2018,"DIRECTING","TRUE","Roma",1.5e+07,"Esperanto Filmoj","Mexico","Alfonso Cuaron","Drama",5100000,"R","135"
"102",2019,"DIRECTING","TRUE","Parasite",11400000,"CJ Entertainment","South Korea","Bong Joon-ho","Thriller",202300000,"R","132"
"103",1986,"BEST PICTURE","TRUE","Platoon",6e+06,"Hemdale","UK","Oliver Stone","Drama",138530565,"R","120"
"104",1987,"BEST PICTURE","TRUE","The Last Emperor",2.3e+07,"Recorded Picture Company (RPC)","UK","Bernardo Bertolucci","Biography",43984230,"PG-13","163"
"105",1988,"BEST PICTURE","TRUE","Rain Man",2.5e+07,"United Artists","USA","Barry Levinson","Drama",172825435,"R","133"
"106",1989,"BEST PICTURE","TRUE","Driving Miss Daisy",7500000,"Zanuck Company, The","USA","Bruce Beresford","Drama",106593296,"PG","99"
"107",1990,"BEST PICTURE","TRUE","Dances With Wolves",1.9e+07,NA,"USA","Kevin Costner","Drama",4.24e+08,"PG-13","236"
"108",1991,"BEST PICTURE","TRUE","The Silence of the Lambs",1.9e+07,"Strong Heart/Demme Production","USA","Jonathan Demme","Crime",130742922,"R","118"
"109",1992,"BEST PICTURE","TRUE","Unforgiven",14400000,"Warner Bros.","USA","Clint Eastwood","Drama",101157447,"R","131"
"110",1993,"BEST PICTURE","TRUE","Schindler's List",2.2e+07,"Universal Pictures","USA","Steven Spielberg","Biography",96067179,"R","195"
"111",1994,"BEST PICTURE","TRUE","Forrest Gump",5.5e+07,"Paramount Pictures","USA","Robert Zemeckis","Comedy",330252182,"PG-13","142"
"112",1995,"BEST PICTURE","TRUE","Braveheart",7.2e+07,"Icon Entertainment International","USA","Mel Gibson","Biography",75600000,"R","178"
"113",1996,"BEST PICTURE","TRUE","The English Patient",2.7e+07,"Miramax","USA","Anthony Minghella","Drama",78651430,"R","162"
"114",1997,"BEST PICTURE","TRUE","Titanic",2e+08,"Twentieth Century Fox Film Corporation","USA","James Cameron","Drama",658672302,"PG-13","194"
"115",1998,"BEST PICTURE","TRUE","Shakespeare in Love",2.5e+07,"Universal Pictures","USA","John Madden","Comedy",100317794,"R","123"
"116",1999,"BEST PICTURE","TRUE","American Beauty",1.5e+07,"DreamWorks","USA","Sam Mendes","Drama",130096601,"R","122"
"117",2000,"BEST PICTURE","TRUE","Gladiator",1.03e+08,"DreamWorks","USA","Ridley Scott","Action",187705427,"R","155"
"118",2001,"BEST PICTURE","TRUE","A Beautiful Mind",5.8e+07,"Universal Pictures","USA","Ron Howard","Biography",170742341,"PG-13","135"
"119",2002,"BEST PICTURE","TRUE","Chicago",4.5e+07,"Miramax","USA","Rob Marshall","Comedy",170687518,"PG-13","113"
"120",2003,"BEST PICTURE","TRUE","The Lord of the Rings: The Return of the King",9.4e+07,"New Line Cinema","USA","Peter Jackson","Adventure",377845905,"PG-13","201"
"121",2004,"BEST PICTURE","TRUE","Million Dollar Baby",3e+07,"Warner Bros.","USA","Clint Eastwood","Drama",100492203,"PG-13","132"
"122",2005,"BEST PICTURE","TRUE","Crash",6500000,NA,"USA","Paul Haggis","Drama",101200000,"R","115"
"123",2006,"BEST PICTURE","TRUE","The Departed",9e+07,"Warner Bros.","USA","Martin Scorsese","Crime",132384315,"R","151"
"124",2007,"BEST PICTURE","TRUE","No Country for Old Men",2.5e+07,"Paramount Vantage","USA","Ethan Coen","Crime",74283625,"R","122"
"125",2008,"BEST PICTURE","TRUE","Slumdog Millionaire",1.5e+07,"Warner Bros.","UK","Danny Boyle","Drama",141319928,"R","120"
"126",2009,"BEST PICTURE","TRUE","The Hurt Locker",1.1e+07,NA,"USA","Kathryn Bigelow","Action",49200000,"R","131"
"127",2010,"BEST PICTURE","TRUE","The King's Speech",1.5e+07,"See-Saw Films","UK","Tom Hooper","Biography",138797449,"R","118"
"128",2011,"BEST PICTURE","TRUE","The Artist",1.5e+07,"Studio 37","France","Michel Hazanavicius","Comedy",44671682,"PG-13","100"
"129",2012,"BEST PICTURE","TRUE","Argo",44500000,"Warner Bros.","USA","Ben Affleck","Adventure",136025503,"R","120"
"130",2013,"BEST PICTURE","TRUE","12 Years a Slave",2e+07,"Regency Enterprises","USA","Steve McQueen","Biography",56671993,"R","134"
"131",2014,"BEST PICTURE","TRUE","Birdman or (The Unexpected Virtue of Ignorance)",1.8e+07,"New Regency Pictures","USA","Alejandro Gonz<e1>lez I<f1><e1>rritu","Comedy",42340598,"R","119"
"132",2015,"BEST PICTURE","TRUE","Spotlight",2e+07,"Participant Media","USA","Tom McCarthy","Crime",45055776,"R","128"
"133",2016,"BEST PICTURE","TRUE","Moonlight",1500000,"A24","USA","Barry Jenkins","Drama",27850912,"R","111"
"134",2017,"BEST PICTURE","TRUE","The Shape of Water",2e+07,NA,"USA","Guillermo del Toro","Drama",195200000,"R","123"
"135",2018,"BEST PICTURE","TRUE","Green Book",2.3e+07,"DreamWorks Pictures","USA","Peter Farrelly","Drama",204200000,"PG-13","130"
"136",2019,"BEST PICTURE","TRUE","Parasite",11400000,"CJ Entertainment","South Korea","Bong Joon-ho","Thriller",202300000,"R","132"
